tieu_de,gia,gia_hien_thi,gia_m2,dien_tich,huong_nha,huong_ban_cong,noi_that,phap_ly,ten_du_an,so_phong,so_wc,duong,phuong,quan,thanh_pho,latitude,longitude,khoang_cach_q1_km,ngay_dang,nguoi_ban,loai_tin,link
"CHUYÊN GIÁ TỐT Q7 RIVERSIDE: 2PN 68M2 3.68TỶ, 2PN 73M2 CĂN GÓC 3.9TỶ",3680000000,"3,68 tỷ",54.117645,68,,,,5,Saigon Riverside Complex Q7,2,2.0,Đào Trí,Phường Phú Thuận,Quận 7,Tp Hồ Chí Minh,10.722,106.7433,7.59,2025-12-23, Nhật Hạ,s,https://www.chotot.com/127863005.htm
"15/12 thông báo nộp hồ sơ ra sổ, bán nhanh căn 2pn 2vs giá tốt 2tỷ09",2150000000,"2,15 tỷ",39.090908,55,,,,5,Sài Gòn Intela,2,,Nguyễn Văn Linh,Xã Phong Phú,Huyện Bình Chánh,Tp Hồ Chí Minh,10.71096,106.64413,9.46,2025-12-23,Mai Xuân Nol ,s,https://www.chotot.com/129578551.htm
2PN Moolight trả trước 700 nhận nhà liền,2700000000,"2,7 tỷ",48.214287,56,,,2.0,2,Moonlight Boulevard,2,1.0,Kinh Dương Vương,Phường An Lạc A,Quận Bình Tân,Tp Hồ Chí Minh,10.73749,106.61454,10.3,2025-12-23,Hạnh Nguyễn,s,https://www.chotot.com/116016622.htm
CĂN HỘ VŨ HUY TẤN _ F3 _ BÌNH THẠNH _ 2PN_ 44M2 _ FILL NỘI THẤT,3150000000,"3,15 tỷ",71.59091,44,,,1.0,6,,2,1.0,Đường Vũ Huy Tấn,Phường 3,Quận Bình Thạnh,Tp Hồ Chí Minh,10.795898,106.69371,2.37,2025-12-23,Tên chưa cung cấp,s,https://www.chotot.com/129786398.htm
chính chủ cần bán căn hộ flora novia sắp có sổ,3800000000,"3,8 tỷ",50.666668,75,6.0,,,2,Flora Novia,2,2.0,Phạm Văn Đồng,Phường Linh Tây (Quận Thủ Đức cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.86122,106.75361,11.15,2025-12-23,Sự,s,https://www.chotot.com/129866027.htm
"bán căn góc 100m2 - 4,9 tỷ - MT EASTMARK City - Duo Key 3PN - SHR",4900000000,"4,9 tỷ",49.0,100,,,3.0,6,MT Eastmark City,3,3.0,Trường Lưu,Phường Long Trường (Quận 9 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.79732,106.82337,13.64,2025-12-23,Kim Anh,s,https://www.chotot.com/129767563.htm
"CHỦ THIỆN CHÍ BÁN CĂN 2PN MASTERI AN PHÚ 7,5TỶ",7500000000,"7,5 tỷ",100.0,75,,,,6,Masteri An Phú,2,2.0,An Phú,Phường An Phú (Quận 2 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.80719,106.75142,6.58,2025-12-23,Chloe Trúc Anh,s,https://www.chotot.com/127749411.htm
BÁN NHANH CĂN CHUNG CƯ SÁT GIGAMALL - PHẠN VĂN ĐỒNG,2200000000,"2,2 tỷ",40.0,55,,,,6,,2,2.0,Đường Phạm Văn Đồng,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.826589,106.71712,5.95,2025-12-23,Ngô văn thuận,s,https://www.chotot.com/129865885.htm
Cần Bán Căn Hộ Cao Cấp 2PN2WC Full Nội Thất Vinhomes,3200000000,"3,2 tỷ",47.761192,67,,,2.0,6,Vinhomes Grand Park,2,2.0,Nguyễn Xiển,Phường Long Thạnh Mỹ (Quận 9 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.8454,106.81972,15.16,2025-12-23,Long Vinhomes,s,https://www.chotot.com/127966053.htm
"Bán trung cư khu lam long Ehom 3,ty2 2PN",3200000000,"3,2 tỷ",59.25926,54,,,,6,,2,2.0,Đường Trần Trọng Cung,Phường Tân Thuận Đông,Quận 7,Tp Hồ Chí Minh,10.743638,106.73257,5.0,2025-12-23,Trong Duy,s,https://www.chotot.com/129865548.htm
Tháp T2B Destino Centro Suất nội bộ *** từ CĐT,1594793000,"1,594 tỷ",30.669096,52,,,,6,,2,2.0,Quốc Lộ 1A,Xã An Phú Tây,Huyện Bình Chánh,Tp Hồ Chí Minh,10.688013,106.6085,13.99,2025-12-23,Nguyễn Thị Hậu,s,https://www.chotot.com/129652894.htm
