Date,usdvnd
2025-11-03,26310.0
2025-11-04,26309.0
2025-11-05,26295.0
2025-11-06,26300.0
2025-11-07,26285.0
2025-11-10,26280.0
2025-11-11,26270.0
2025-11-12,26280.0
2025-11-13,26280.0
2025-11-14,26320.0
2025-11-17,26325.0
2025-11-18,26335.0
2025-11-19,26378.0
2025-11-20,26376.0
2025-11-21,26366.0
2025-11-24,26349.0
2025-11-25,26350.0
2025-11-26,26343.0
2025-11-27,26350.0
2025-11-28,26372.0
2025-12-01,26330.0
2025-12-02,26340.0
2025-12-03,26340.0
2025-12-04,26345.0
2025-12-05,26340.0
2025-12-08,26320.0
2025-12-09,26320.0
2025-12-10,26340.0
2025-12-11,26355.0
2025-12-12,26300.0
2025-12-15,26303.0
2025-12-16,26290.0
2025-12-17,26310.0
2025-12-18,26300.0
2025-12-19,26285.0
2025-12-22,26265.0
2025-12-23,26300.0
2025-12-24,26326.0
2025-12-26,26277.0
2025-12-29,26255.0
2025-12-30,26245.0
2025-12-31,26225.0
2026-01-02,26295.0
2026-01-05,26295.0
2026-01-06,26269.0
2026-01-07,26274.0
2026-01-08,26271.0
2026-01-09,26230.0
2026-01-12,26225.0
2026-01-13,26270.0
2026-01-14,26250.0
2026-01-15,26230.0
2026-01-16,26230.0
2026-01-19,26235.0
2026-01-20,26225.0
2026-01-21,26264.0
2026-01-22,26225.0
2026-01-23,26267.0
2026-01-26,26205.0
2026-01-27,26181.0
2026-01-28,26130.0
2026-01-29,26020.0
2026-01-30,25950.0
2026-02-02,25880.0
2026-02-03,25970.0
2026-02-04,26000.0
2026-02-05,25978.0
2026-02-06,25940.0
2026-02-09,25900.0
2026-02-10,25860.0
2026-02-11,25840.0
2026-02-12,25950.0
2026-02-13,25910.0
2026-02-16,25920.0
2026-02-17,25920.0
2026-02-18,25920.0
2026-02-19,25920.0
2026-02-20,25920.0
2026-02-23,25920.0
2026-02-24,26080.0
2026-02-25,26180.0
2026-02-26,26099.0
2026-02-27,26030.0
2026-03-02,26040.0
2026-03-03,26160.0
2026-03-04,26150.0
2026-03-05,26165.0
2026-03-06,26210.0
2026-03-09,26180.0
2026-03-10,26245.0
2026-03-11,26175.0
2026-03-12,26190.0
2026-03-13,26240.0
2026-03-16,26271.0
2026-03-17,26260.0
2026-03-18,26280.0
2026-03-19,26300.0
2026-03-20,26255.0
2026-03-23,26285.0
2026-03-24,26339.0
2026-03-25,26350.0
2026-03-26,26341.0
2026-03-27,26348.0
2026-03-30,26320.0
2026-03-31,26335.0
2026-04-01,26323.0
2026-04-02,26310.0
2026-04-03,26310.0
2026-04-06,26318.0
2026-04-07,26312.0
2026-04-08,26305.0
2026-04-09,26304.0
2026-04-10,26320.0
2026-04-13,26335.0
2026-04-14,26325.0
2026-04-15,26340.0
2026-04-16,26302.0
2026-04-17,26300.0
2026-04-20,26313.0
2026-04-21,26308.0
2026-04-22,26325.0
2026-04-23,26320.0
2026-04-24,26294.0
2026-04-27,26350.0
2026-04-28,26350.0
2026-04-29,26330.0
2026-04-30,26355.0
2026-05-01,26355.0
2026-05-04,26355.0
2026-05-05,26312.0
2026-05-06,26280.0
2026-05-07,26320.0
2026-05-08,26260.0
2026-05-11,26306.0
2026-05-12,26320.0
2026-05-13,26299.0
2026-05-14,26317.0
2026-05-15,26340.0
2026-05-18,26350.0
2026-05-19,26327.0
2026-05-20,26329.0
2026-05-21,26355.0
2026-05-22,26350.0
2026-05-25,26340.0
2026-05-26,26322.0
2026-05-27,26294.0
2026-05-28,26273.0
2026-05-29,26326.0
2026-06-01,26255.0
2026-06-02,26265.0
2026-06-03,26275.0
2026-06-04,26290.0
2026-06-05,26275.0
2026-06-08,26270.0
2026-06-09,26285.0
2026-06-10,26270.0
2026-06-11,26265.0
2026-06-12,26325.0
2026-06-15,26250.0
2026-06-16,26230.0
2026-06-17,26240.0
2026-06-18,26265.0
2026-06-19,26270.0
2026-06-22,26265.0
2026-06-23,26315.0
2026-06-24,26265.0
2026-06-25,26330.0
2026-06-26,26315.0
2026-06-29,26245.0
2026-06-30,26230.0
2026-07-01,26255.0
2026-07-02,26299.0
2026-07-03,26285.0
2026-07-06,26294.0
2026-07-07,26299.0
2026-07-08,26289.0
2026-07-09,26294.0
2026-07-10,26290.0
2026-07-13,26261.0
2026-07-14,26250.0
2026-07-15,26259.0
2026-07-16,26254.0
2026-07-17,26251.0
2026-07-20,26292.0
2026-07-21,26290.0
2026-07-22,26300.0
2026-07-23,26305.0
2026-07-24,26314.0
2026-07-27,26300.0
2026-07-28,26313.0
2026-07-29,26330.0
2026-07-30,26321.0
2026-07-31,26279.0
2026-08-03,26291.0
2026-08-04,26286.0
2026-08-05,26259.0
2026-08-06,26249.0
2026-08-07,26234.0
2026-08-10,26203.0
2026-08-11,26150.0
2026-08-12,26130.0
2026-08-13,26049.0
2026-08-14,26070.0
2026-08-17,26147.0
2026-08-18,26200.0
2026-08-19,26175.0
2026-08-20,26179.0
2026-08-21,26099.0
2026-08-24,26110.0
2026-08-25,26172.0
2026-08-26,26109.0
2026-08-27,26102.0
2026-08-28,26076.0
2026-08-31,26070.0
2026-09-01,26070.0
2026-09-02,26070.0
2026-09-03,26070.0
2026-09-04,26070.0
2026-09-07,26050.0
2026-09-08,26015.0
2026-09-09,25974.0
2026-09-10,25904.0
2026-09-11,25921.0
2026-09-14,25920.0
2026-09-15,25984.0
2026-09-16,25958.0
2026-09-17,25997.0
